### food
negro,black
gris,gray
marrón,brown
oro,gold
plata,silver


### clothes
los zapatos,shoes
los pantalones,trousers
las bermudas,shorts
el vestido,dress
la falda,skirt
la camisa,shirt
la camiseta,t-shirt
la jaqueta,jacket
el sombrero,hat
el cinturón,belt
los calcetines,socks
la ropa interion,underwear
la ropa,clothes
las gafas,glasses
las sandalias,sandals
las chanclas,flip flops
la bufanda,scarf


### animals
el gato,cat
el perro,dog
el pez,fish
la rata,rat
el conejo,rabbit
el pájaro,bird
el pato,duck
el ratón,mouse
el caballo,horse
el pollo,chicken
la vaca,cow
el toro,bull
el cerdo,pig
el cordero,sheep
el mono,monkey


### health
el hospital,hospital
el médico,doctor
la ambulancia,ambulance
la enfermera,nurse
la raceta,prescription
el dolor,pain
la fiebre,fever
la gripe,flu


### pronouns
quién,who
qué,what
dónde,where
cuándo,when
por qué,why
cuál,which
cómo,how
cuánto/a,how much
cuántos/as,how many


### verbs
comer,eat
beber,drink
ir,go
conducir,drive
dormir,sleep
nadar,swim
correr,run
caminar,walk
leer,read
escribir,write
hablar,speak
escuchar,listen
ver,see
mirar,look
bailar,dance
cantar,sing
saltar,jump
jugar,play
trabajar,work
viajar,travel
buscar,search
abrir,open
comprar,buy
necesitar,need
entender,undrestand
pagar,pay
querer,want
salir,leave
tener,have
tomar,take
dar,give
tocar,touch
vivir,live
pensar,think
ser,be
disfrutar,enjoy
preferir,prefer
servir,serve
gustar,like


### adjectives
feliz,happy
triste,sad
grande,big
pequeño/a,small
hermoso/a,beautiful
feo/a,ugly
alto/a,tall
bajo/a,short (height)
rápido/a,fast
lento/a,slow
brillante,bright
oscuro/a,dark
caro/a,expensive
barato/a,cheap
frio/a,cold
fresco,chilly
cálido/a,warm
calor,hot
largo,long
corto,short (length)
aburrido,boring
bueno,good
cómodo,comfortable
diferente,different
enfermo,sick
guapo/a,handsome
bonito,pretty
joven,young
limpio,clean
viejo,old
mayor,elder
manor,younger
sabroso,tasty
sucio,dirty
interesante,interesting
fresco,fresh
